id_pedido,transportadora,status,data_entrega,prazo_estimado,motivo_ocorrencia
1,Total Express,Devolvido,,2025-02-28,Cliente recusou
2,Jadlog,Entregue,2025-02-20,2025-02-18,
3,Correios,Atrasado,,2025-03-20,Atraso na malha
4,Correios,Entregue,2024-12-17,2024-12-19,
5,Jadlog,Atrasado,,2024-12-13,Atraso na malha
6,Correios,Entregue,2024-09-08,2024-09-05,
7,Jadlog,Extraviado,,2024-10-23,Extravio confirmado
8,Jadlog,Entregue,2024-09-13,2024-09-11,
9,Loggi,Atrasado,,2024-11-07,Atraso na malha
10,Total Express,Entregue,2024-10-06,2024-10-01,
11,Loggi,Atrasado,,2025-04-15,Atraso na malha
12,Total Express,Entregue,2025-01-07,2025-01-08,
13,Correios,Atrasado,,2025-03-04,Atraso na malha
14,Correios,Entregue,2025-04-20,2025-04-21,
15,Total Express,Extraviado,,2024-08-02,Extravio confirmado
16,Correios,Entregue,2025-01-23,2025-01-21,
17,Loggi,Entregue,2025-01-22,2025-01-23,
18,Jadlog,Entregue,2025-02-27,2025-02-22,
19,Jadlog,Entregue,2025-02-23,2025-02-22,
20,Total Express,Entregue,2024-08-10,2024-08-07,
21,Total Express,Entregue,2025-04-04,2025-04-03,
22,Correios,Entregue,2025-02-04,2025-02-04,
23,Jadlog,Entregue,2025-01-29,2025-01-25,
24,Total Express,Entregue,2024-06-30,2024-07-01,
25,Total Express,Entregue,2024-08-15,2024-08-11,
26,Loggi,Entregue,2024-09-29,2024-09-27,
27,Correios,Entregue,2024-06-27,2024-06-27,
28,Loggi,Entregue,2025-01-11,2025-01-09,
29,Total Express,Extraviado,,2024-09-09,Extravio confirmado
30,Total Express,Entregue,2024-06-30,2024-06-28,
31,Jadlog,Entregue,2024-08-24,2024-08-21,
32,Jadlog,Entregue,2025-02-14,2025-02-15,
33,Total Express,Entregue,2024-07-05,2024-07-06,
34,Loggi,Entregue,2024-05-21,2024-05-23,
35,Loggi,Atrasado,,2025-04-16,Atraso na malha
36,Total Express,Entregue,2025-01-06,2025-01-04,
37,Jadlog,Entregue,2024-06-22,2024-06-22,
38,Total Express,Entregue,2025-03-25,2025-03-24,
39,Jadlog,Entregue,2024-07-12,2024-07-13,
40,Loggi,Entregue,2025-04-20,2025-04-19,
41,Loggi,Entregue,2025-05-18,2025-05-17,
42,Correios,Entregue,2024-11-13,2024-11-10,
43,Correios,Devolvido,,2025-03-28,Cliente recusou
44,Total Express,Entregue,2025-02-28,2025-02-23,
45,Total Express,Entregue,2025-05-16,2025-05-13,
46,Loggi,Entregue,2024-09-10,2024-09-12,
47,Jadlog,Entregue,2024-09-05,2024-09-03,
48,Total Express,Devolvido,,2024-07-18,Cliente recusou
49,Correios,Atrasado,,2024-08-28,Atraso na malha
50,Correios,Entregue,2024-11-05,2024-11-04,
51,Correios,Entregue,2024-06-11,2024-06-06,
52,Loggi,Entregue,2024-10-20,2024-10-16,
53,Jadlog,Entregue,2024-11-04,2024-11-03,
54,Correios,Extraviado,,2024-08-16,Extravio confirmado
55,Total Express,Entregue,2024-08-28,2024-08-30,
56,Total Express,Entregue,2025-03-13,2025-03-14,
57,Total Express,Entregue,2024-05-26,2024-05-25,
58,Loggi,Entregue,2024-07-28,2024-07-26,
59,Total Express,Entregue,2024-10-01,2024-10-01,
60,Loggi,Entregue,2024-10-24,2024-10-22,
61,Correios,Atrasado,,2024-09-18,Atraso na malha
62,Jadlog,Entregue,2025-04-20,2025-04-22,
63,Jadlog,Entregue,2025-01-03,2024-12-29,
64,Correios,Entregue,2024-06-23,2024-06-25,
65,Correios,Entregue,2025-04-03,2025-04-02,
66,Total Express,Atrasado,,2024-09-17,Atraso na malha
67,Total Express,Entregue,2024-12-06,2024-12-08,
68,Total Express,Entregue,2024-09-09,2024-09-05,
69,Correios,Entregue,2025-02-12,2025-02-13,
70,Correios,Atrasado,,2024-09-12,Atraso na malha
71,Loggi,Entregue,2024-10-14,2024-10-13,
72,Correios,Devolvido,,2024-12-17,Cliente recusou
73,Jadlog,Extraviado,,2024-12-16,Extravio confirmado
74,Loggi,Atrasado,,2024-11-23,Atraso na malha
75,Loggi,Entregue,2025-05-24,2025-05-20,
76,Correios,Atrasado,,2024-12-18,Atraso na malha
77,Jadlog,Entregue,2024-08-24,2024-08-20,
78,Correios,Devolvido,,2025-02-18,Cliente recusou
79,Correios,Entregue,2024-12-13,2024-12-10,
80,Loggi,Entregue,2024-09-29,2024-09-26,
81,Total Express,Entregue,2024-08-31,2024-08-30,
82,Total Express,Entregue,2025-05-12,2025-05-11,
83,Loggi,Entregue,2025-04-12,2025-04-13,
84,Jadlog,Entregue,2024-10-22,2024-10-19,
85,Loggi,Entregue,2025-05-09,2025-05-07,
86,Loggi,Entregue,2024-07-26,2024-07-23,
87,Total Express,Entregue,2024-11-27,2024-11-29,
88,Loggi,Entregue,2024-12-08,2024-12-09,
89,Loggi,Entregue,2024-12-30,2024-12-27,
90,Loggi,Entregue,2025-04-13,2025-04-10,
91,Total Express,Devolvido,,2025-01-02,Cliente recusou
92,Jadlog,Entregue,2024-12-10,2024-12-10,
93,Loggi,Entregue,2024-12-30,2024-12-26,
94,Loggi,Entregue,2024-12-31,2024-12-26,
95,Jadlog,Entregue,2024-05-17,2024-05-19,
96,Loggi,Entregue,2024-07-21,2024-07-21,
97,Total Express,Entregue,2024-09-15,2024-09-10,
98,Correios,Entregue,2024-06-29,2024-06-25,
99,Total Express,Atrasado,,2024-08-22,Atraso na malha
100,Loggi,Entregue,2024-11-13,2024-11-08,
101,Correios,Atrasado,,2024-10-13,Atraso na malha
102,Loggi,Entregue,2025-03-23,2025-03-18,
103,Correios,Atrasado,,2024-10-24,Atraso na malha
104,Loggi,Entregue,2024-12-15,2024-12-14,
105,Total Express,Entregue,2024-09-06,2024-09-04,
106,Total Express,Atrasado,,2024-08-25,Atraso na malha
107,Total Express,Entregue,2024-10-29,2024-10-29,
108,Jadlog,Entregue,2025-01-19,2025-01-18,
109,Jadlog,Entregue,2024-10-09,2024-10-07,
110,Loggi,Entregue,2024-07-23,2024-07-18,
111,Loggi,Entregue,2024-10-02,2024-10-01,
112,Total Express,Entregue,2024-07-14,2024-07-11,
113,Loggi,Entregue,2025-02-23,2025-02-25,
114,Correios,Entregue,2025-04-19,2025-04-20,
115,Jadlog,Devolvido,,2024-08-27,Cliente recusou
116,Total Express,Entregue,2024-06-30,2024-06-26,
117,Jadlog,Atrasado,,2025-04-01,Atraso na malha
118,Total Express,Extraviado,,2025-05-06,Extravio confirmado
119,Total Express,Atrasado,,2025-04-04,Atraso na malha
120,Loggi,Entregue,2024-12-29,2024-12-31,
121,Loggi,Extraviado,,2025-02-21,Extravio confirmado
122,Correios,Entregue,2024-11-28,2024-11-29,
123,Correios,Entregue,2024-07-22,2024-07-24,
124,Total Express,Entregue,2025-04-18,2025-04-15,
125,Correios,Entregue,2025-05-01,2025-04-29,
126,Loggi,Entregue,2024-12-02,2024-11-29,
127,Jadlog,Atrasado,,2025-05-17,Atraso na malha
128,Total Express,Entregue,2024-08-07,2024-08-08,
129,Total Express,Entregue,2024-12-06,2024-12-08,
130,Loggi,Entregue,2024-07-25,2024-07-21,
131,Total Express,Entregue,2024-06-15,2024-06-13,
132,Total Express,Atrasado,,2024-11-11,Atraso na malha
133,Correios,Entregue,2024-12-19,2024-12-15,
134,Jadlog,Entregue,2024-07-17,2024-07-13,
135,Total Express,Entregue,2024-08-29,2024-08-24,
136,Loggi,Atrasado,,2024-08-15,Atraso na malha
137,Jadlog,Atrasado,,2024-10-29,Atraso na malha
138,Correios,Atrasado,,2025-04-26,Atraso na malha
139,Jadlog,Entregue,2025-03-01,2025-02-25,
140,Loggi,Atrasado,,2024-06-03,Atraso na malha
141,Correios,Entregue,2024-07-19,2024-07-21,
142,Total Express,Entregue,2025-03-20,2025-03-22,
143,Loggi,Entregue,2025-04-13,2025-04-15,
144,Total Express,Entregue,2024-08-14,2024-08-16,
145,Jadlog,Atrasado,,2025-04-20,Atraso na malha
146,Total Express,Entregue,2024-09-07,2024-09-05,
147,Jadlog,Entregue,2025-01-08,2025-01-06,
148,Jadlog,Entregue,2024-07-18,2024-07-13,
149,Loggi,Devolvido,,2025-05-03,Cliente recusou
150,Total Express,Entregue,2024-12-31,2024-12-31,
151,Correios,Entregue,2025-01-08,2025-01-08,
152,Loggi,Entregue,2025-01-22,2025-01-18,
153,Total Express,Entregue,2025-05-16,2025-05-11,
154,Total Express,Entregue,2025-04-04,2025-03-30,
155,Total Express,Atrasado,,2024-06-06,Atraso na malha
156,Correios,Entregue,2024-08-12,2024-08-08,
157,Jadlog,Atrasado,,2024-08-14,Atraso na malha
158,Loggi,Entregue,2024-08-10,2024-08-07,
159,Jadlog,Entregue,2024-07-09,2024-07-10,
160,Jadlog,Entregue,2025-02-01,2025-01-29,
161,Correios,Atrasado,,2025-03-16,Atraso na malha
162,Correios,Entregue,2024-10-12,2024-10-09,
163,Loggi,Entregue,2025-01-14,2025-01-16,
164,Jadlog,Atrasado,,2025-03-12,Atraso na malha
165,Loggi,Entregue,2024-11-04,2024-11-02,
166,Loggi,Extraviado,,2025-02-09,Extravio confirmado
167,Jadlog,Entregue,2024-11-24,2024-11-20,
168,Correios,Entregue,2024-08-13,2024-08-15,
169,Correios,Entregue,2024-09-20,2024-09-18,
170,Loggi,Entregue,2024-06-08,2024-06-09,
171,Correios,Atrasado,,2025-03-28,Atraso na malha
172,Correios,Entregue,2024-07-08,2024-07-08,
173,Correios,Entregue,2024-12-14,2024-12-12,
174,Loggi,Entregue,2024-08-31,2024-08-28,
175,Loggi,Extraviado,,2024-08-10,Extravio confirmado
176,Jadlog,Atrasado,,2025-04-20,Atraso na malha
177,Total Express,Entregue,2024-12-17,2024-12-14,
178,Total Express,Atrasado,,2025-02-01,Atraso na malha
