id_cliente,data_resposta,nota,comentario
1,2024-06-29,9,Necessitatibus nulla sit expedita nostrum recusandae quo sapiente amet praesentium facere.
2,2024-06-13,10,Eaque ullam mollitia eaque earum ratione totam reiciendis quam.
2,2025-03-16,8,Animi reiciendis commodi itaque quidem asperiores.
3,2024-09-07,8,Voluptas ex ut esse.
3,2025-05-07,0,Porro expedita doloribus ullam ab adipisci eius.
4,2024-06-07,10,Aspernatur occaecati reiciendis vitae quaerat.
5,2025-02-07,7,Quae ducimus earum blanditiis error consequatur qui accusamus sed vitae.
5,2024-12-06,1,Consequatur est corrupti dolorum ducimus.
6,2024-12-02,0,Aspernatur eaque mollitia aut deleniti veniam quam placeat totam.
7,2025-04-08,9,Praesentium deleniti tenetur similique pariatur laborum.
7,2024-10-12,8,Excepturi fugiat ad error pariatur.
8,2024-07-11,6,Necessitatibus corporis porro neque eligendi beatae neque.
8,2024-10-31,3,Rem voluptatum officia architecto suscipit quisquam illum saepe odit incidunt tenetur.
9,2025-04-08,5,Quia corrupti magnam at ipsam sunt sunt odit error.
10,2024-09-22,6,Voluptate officiis deleniti voluptates occaecati porro eum est reiciendis illo.
10,2024-12-27,5,Ipsum necessitatibus deserunt nostrum tempora aspernatur ipsum numquam.
11,2024-11-18,4,Beatae mollitia reiciendis debitis harum veniam.
11,2025-03-19,8,Beatae porro error repellat distinctio rem officiis distinctio nesciunt.
11,2024-08-02,2,Quibusdam tempora mollitia cupiditate minima fugit debitis dolorum.
12,2025-03-07,6,Necessitatibus vero assumenda inventore labore sunt hic explicabo enim voluptate.
12,2025-04-10,1,Deserunt nam at occaecati error dolor.
12,2025-05-03,3,Suscipit dolore vel odit qui nostrum amet saepe enim occaecati vitae.
13,2024-09-15,1,Tempora ullam sunt commodi quas.
14,2025-04-02,10,Ducimus ex aperiam quos pariatur doloremque iusto quaerat dolore sunt.
14,2024-12-07,2,Ratione saepe alias officia nam similique veniam quos reprehenderit ullam.
14,2024-08-28,9,Repellat officiis repellat dolores temporibus beatae labore adipisci fugiat impedit.
15,2024-12-30,3,Rerum in tempore corrupti eaque quam incidunt.
15,2024-06-12,3,Perspiciatis illum odio consequatur illo.
15,2024-08-14,10,Dolorem iusto illo dolore id ullam minima esse tempora eum.
16,2025-04-11,5,Quam laboriosam aperiam architecto exercitationem corrupti exercitationem placeat fugit quo iusto.
17,2024-08-10,4,Sunt iure exercitationem magni est nobis praesentium reprehenderit labore.
18,2025-01-30,2,Corrupti illum accusantium recusandae facilis magni vitae aperiam reprehenderit laudantium.
18,2024-08-14,8,Deserunt exercitationem voluptatum amet architecto non consequatur.
18,2024-08-19,10,Illo in nobis ab dignissimos ducimus autem animi aperiam.
19,2024-08-04,9,Atque commodi cumque et praesentium quibusdam modi.
19,2025-02-27,3,Magnam laboriosam voluptas dicta voluptatem dicta ipsa dolor nulla a.
19,2024-12-22,4,Nesciunt nulla fugiat impedit repellat iure voluptatem.
20,2024-11-24,9,Voluptates tenetur eligendi atque quaerat illo optio aperiam.
21,2024-05-31,3,Veniam dolore architecto architecto error fuga.
21,2025-03-30,1,Ducimus commodi nobis iure harum error.
22,2024-10-03,9,Nemo maiores a perspiciatis beatae unde vitae exercitationem.
22,2024-09-20,6,Nam a exercitationem asperiores quod facere veritatis fugit.
23,2025-03-01,10,Et occaecati labore ab delectus molestiae reprehenderit minima dolor quos.
24,2025-04-24,5,Saepe exercitationem nihil non.
24,2025-02-20,3,Accusantium recusandae suscipit aspernatur quibusdam debitis eum incidunt vel mollitia.
24,2024-07-12,6,Impedit temporibus ducimus pariatur accusantium ipsum quam asperiores soluta.
25,2025-03-23,6,Explicabo suscipit optio quisquam hic officiis et sed ex.
26,2024-10-28,9,Adipisci accusamus impedit distinctio numquam similique aspernatur voluptatibus assumenda.
27,2025-02-13,9,Praesentium sunt dignissimos nemo nostrum perferendis adipisci quam accusamus repellendus.
28,2025-03-14,1,Voluptatum ab cumque libero adipisci omnis numquam rerum nihil exercitationem.
28,2025-02-11,9,Quis distinctio explicabo aut doloremque.
28,2024-08-12,0,Rem modi cupiditate facere magnam eos eligendi.
29,2024-07-04,2,Nihil assumenda delectus accusantium sit.
30,2024-09-28,4,Enim temporibus illum consectetur nesciunt laudantium.
30,2024-11-19,2,Nemo sapiente et explicabo.
31,2024-07-03,4,Animi laudantium error voluptates sunt laudantium dignissimos.
31,2024-07-11,0,Harum labore quibusdam fugit temporibus.
32,2025-01-04,6,Saepe nostrum explicabo praesentium pariatur.
32,2025-05-02,4,Id sint nesciunt pariatur minus id tempore sed provident molestiae.
33,2024-08-13,10,Earum fugit vero harum dolorum explicabo.
33,2024-08-19,0,Corrupti odio fugit adipisci molestiae doloribus.
34,2024-09-17,8,Voluptatibus nihil cum nemo dolores accusamus vitae voluptates consequatur.
35,2024-05-15,4,Fugit sunt minus at numquam sint.
35,2025-05-10,9,Odit praesentium hic commodi.
36,2025-04-19,1,Dolorum quo esse veniam assumenda sed praesentium.
37,2025-05-07,4,Quia sunt voluptate provident nam itaque rerum ratione nobis.
37,2025-03-06,9,Perspiciatis in dolor doloremque adipisci neque.
38,2024-09-18,2,Inventore perferendis ratione aspernatur hic exercitationem dolor excepturi delectus.
38,2025-04-08,9,Provident repellat doloribus quas corporis maiores error fuga provident soluta.
38,2025-04-01,8,Recusandae est mollitia veniam excepturi nam architecto alias magnam.
39,2024-05-13,7,Rem sunt error inventore magnam fugiat.
40,2025-01-07,4,Numquam ab explicabo aliquid molestias vero labore harum libero debitis.
40,2025-01-05,1,Natus exercitationem quod veniam dolore earum perferendis accusantium.
41,2024-06-30,1,Voluptates voluptas commodi laboriosam eligendi quidem.
41,2024-08-20,7,Voluptate optio error ea officiis impedit.
41,2024-11-09,4,Natus unde magni dicta sunt provident atque itaque.
42,2024-08-22,9,Impedit fugit possimus modi nulla ab nisi quis eaque consectetur.
43,2024-08-01,4,Non impedit minima maxime iure nostrum eaque dolore eos eum.
43,2025-02-23,2,Quis ratione fugiat saepe laudantium distinctio dolorem.
43,2024-08-17,6,Aspernatur eius aliquam beatae iusto deserunt.
44,2024-11-11,6,Earum aliquam libero cupiditate delectus tenetur.
44,2025-05-01,4,Dicta dolor sunt debitis fugiat.
44,2025-01-12,4,Quasi alias qui ratione rerum iste quia error.
45,2024-12-05,1,In cumque qui doloribus sit quis mollitia.
45,2024-12-05,8,Ipsa commodi harum enim eum.
45,2024-05-19,1,Eveniet consectetur necessitatibus repellendus ab esse officiis iure magnam omnis.
46,2025-03-11,2,Possimus doloribus ratione eligendi.
46,2024-06-19,9,Delectus possimus commodi voluptates sunt a.
46,2025-02-26,10,Minima iste inventore quae vero occaecati maiores.
47,2025-05-07,2,Nam quod atque omnis nostrum nulla quae.
48,2024-05-18,1,Fuga labore inventore adipisci provident voluptate molestias dignissimos impedit.
49,2025-01-04,2,Molestias reprehenderit architecto aliquid nemo sit repellat.
49,2024-11-08,3,Vero rerum molestiae molestiae perspiciatis sed.
50,2024-06-29,1,Esse non esse maiores.
50,2025-01-16,4,Velit distinctio rem nisi deserunt dolorum accusamus similique nihil quae.
50,2025-01-24,7,Animi explicabo dolor officia eius repudiandae rerum laboriosam.
51,2025-03-21,0,Beatae expedita a quis harum.
52,2024-06-29,10,Commodi cumque odio asperiores error.
52,2024-08-11,2,Ut qui magni expedita numquam ea quasi veritatis voluptatem.
52,2024-06-02,10,Dolor praesentium excepturi tenetur aspernatur dolores laborum voluptas ipsa.
53,2024-08-31,10,Dolorem ipsum blanditiis nulla quas laboriosam aut nam consectetur.
53,2024-11-09,5,Aspernatur error mollitia quia voluptas praesentium dolor quae.
54,2025-04-22,10,Facere explicabo occaecati aut porro iste repudiandae quis atque est.
54,2025-05-06,9,Laborum at a culpa ea.
54,2024-11-09,10,Veritatis sapiente debitis saepe dolorum quod eligendi animi reprehenderit.
55,2024-09-27,6,Quia mollitia veritatis provident ea soluta officiis.
55,2024-07-24,3,Sed nesciunt dolore magnam non harum.
56,2024-12-15,3,Ex sed labore corporis a consectetur perferendis exercitationem saepe.
56,2024-06-19,8,Reiciendis quasi eum modi architecto libero quis non voluptate.
57,2024-06-16,10,Dolor unde molestiae illum voluptate non reiciendis nulla.
57,2025-04-22,6,Deleniti enim consequuntur quibusdam excepturi nisi quisquam maiores magnam debitis.
58,2024-09-16,9,Autem provident nulla consequatur exercitationem quas hic quis.
58,2024-12-07,1,Eveniet eveniet incidunt occaecati vitae.
59,2025-04-14,7,Laborum laudantium reprehenderit vel laudantium voluptatem libero molestiae rem.
60,2024-10-01,3,Laborum quo eius est mollitia esse tenetur molestias.
60,2024-06-03,1,Quisquam facere ullam consectetur voluptas.
61,2024-08-19,2,Nisi est consequuntur culpa.
61,2024-09-20,2,Iure maiores quibusdam tenetur corporis pariatur nesciunt nostrum.
61,2024-09-14,5,Dolores neque quasi asperiores tenetur.
62,2024-09-09,5,Reprehenderit error magni aspernatur esse aspernatur aut.
62,2025-01-22,5,Velit doloribus nulla voluptate eum consequuntur voluptates quas.
63,2024-08-18,4,Deleniti possimus nisi corporis magnam officia quidem.
