id,id_cliente,data_pedido,valor,canal_venda
1,57,2025-02-21,190.74,WhatsApp
2,156,2025-02-12,152.1,Marketplace
3,25,2025-03-11,1411.59,Marketplace
4,52,2024-12-17,328.56,WhatsApp
5,147,2024-12-07,122.34,Marketplace
6,72,2024-09-03,576.47,Loja Virtual
7,19,2024-10-21,875.78,WhatsApp
8,119,2024-09-07,757.45,Loja Virtual
9,110,2024-11-03,854.65,Loja Virtual
10,131,2024-09-29,158.68,Marketplace
11,32,2025-04-10,489.45,WhatsApp
12,101,2025-01-01,1486.23,WhatsApp
13,131,2025-02-25,254.62,Marketplace
14,148,2025-04-11,323.86,Loja Virtual
15,27,2024-07-31,758.05,Marketplace
16,36,2025-01-18,1155.83,Loja Virtual
17,161,2025-01-14,1270.86,WhatsApp
18,189,2025-02-14,1316.73,Loja Virtual
19,77,2025-02-13,941.79,Loja Virtual
20,194,2024-07-31,220.91,Loja Virtual
21,19,2025-03-25,1472.0,Loja Virtual
22,198,2025-01-30,181.07,WhatsApp
23,128,2025-01-19,871.05,Marketplace
24,95,2024-06-25,979.22,Loja Virtual
25,11,2024-08-06,802.15,WhatsApp
26,160,2024-09-24,673.49,WhatsApp
27,50,2024-06-18,957.96,Marketplace
28,11,2025-01-04,671.3,Loja Virtual
29,17,2024-09-04,503.74,Marketplace
30,89,2024-06-22,862.43,Marketplace
31,19,2024-08-15,381.58,Loja Virtual
32,75,2025-02-10,434.18,Loja Virtual
33,170,2024-07-01,184.28,Loja Virtual
34,191,2024-05-14,469.76,Loja Virtual
35,153,2025-04-10,1392.43,Marketplace
36,22,2025-01-01,860.39,WhatsApp
37,49,2024-06-16,74.47,Loja Virtual
38,97,2025-03-15,92.61,WhatsApp
39,196,2024-07-04,1046.06,Loja Virtual
40,100,2025-04-12,381.0,WhatsApp
41,198,2025-05-12,288.46,WhatsApp
42,120,2024-11-06,114.75,Marketplace
43,71,2025-03-26,1189.86,Loja Virtual
44,182,2025-02-20,612.26,Loja Virtual
45,190,2025-05-03,693.75,Marketplace
46,188,2024-09-06,470.18,Loja Virtual
47,31,2024-08-26,719.16,WhatsApp
48,161,2024-07-10,1468.68,Marketplace
49,200,2024-08-18,1094.21,Loja Virtual
50,8,2024-10-29,299.98,Marketplace
51,35,2024-05-27,366.32,Marketplace
52,161,2024-10-07,63.32,Loja Virtual
53,78,2024-11-01,219.25,WhatsApp
54,51,2024-08-08,806.2,Marketplace
55,198,2024-08-25,1349.48,Loja Virtual
56,163,2025-03-09,575.73,Loja Virtual
57,93,2024-05-22,345.27,Loja Virtual
58,31,2024-07-23,1100.7,Marketplace
59,121,2024-09-23,1219.3,Marketplace
60,37,2024-10-13,54.02,WhatsApp
61,138,2024-09-09,630.56,WhatsApp
62,29,2025-04-18,173.07,WhatsApp
63,91,2024-12-24,729.69,Loja Virtual
64,164,2024-06-20,1187.9,Marketplace
65,80,2025-03-29,179.44,WhatsApp
66,148,2024-09-09,930.12,Marketplace
67,69,2024-11-30,1403.69,Loja Virtual
68,44,2024-09-03,95.18,Marketplace
69,154,2025-02-08,733.98,Marketplace
70,195,2024-09-03,99.53,WhatsApp
71,180,2024-10-11,1065.3,WhatsApp
72,70,2024-12-12,130.04,WhatsApp
73,186,2024-12-09,762.08,Loja Virtual
74,181,2024-11-13,1166.8,WhatsApp
75,93,2025-05-13,723.04,Loja Virtual
76,153,2024-12-10,1445.94,WhatsApp
77,121,2024-08-17,1321.18,WhatsApp
78,155,2025-02-09,1464.1,Loja Virtual
79,13,2024-12-06,297.96,Marketplace
80,151,2024-09-24,62.23,Loja Virtual
81,12,2024-08-22,516.9,Loja Virtual
82,142,2025-05-02,1001.71,Loja Virtual
83,102,2025-04-07,1398.43,WhatsApp
84,193,2024-10-13,247.69,Marketplace
85,180,2025-04-29,512.28,Marketplace
86,79,2024-07-20,1125.19,Marketplace
87,9,2024-11-24,1068.86,Marketplace
88,11,2024-11-29,1305.67,Marketplace
89,124,2024-12-18,1363.46,WhatsApp
